feature1,feature2,feature3,feature4,feature5,feature6,agent1,agent2,target
110,20,310,410,510,60,64,3,3
110,20,310,410,510,60,3,64,16
110,20,310,410,510,60,16,3,40
110,20,310,410,510,60,40,16,16
110,20,310,410,510,60,16,40,40
110,20,310,410,510,60,40,16,16
110,20,310,410,510,60,16,40,59
110,20,310,410,510,60,59,16,16
110,20,310,410,510,60,16,59,5
110,20,310,410,510,60,5,16,65
110,20,310,410,510,60,65,5,66
110,20,310,410,510,60,66,65,5
110,20,310,410,510,60,5,66,13
110,20,310,410,510,60,13,5,36
110,20,310,410,510,60,36,13,67
111,20,311,411,511,60,0,0,21
112,21,312,412,512,60,0,0,68
112,21,312,412,512,60,68,0,8
112,21,312,412,512,60,8,68,69
113,20,313,413,513,60,0,0,70
113,20,313,413,513,60,70,0,71
113,20,313,413,513,60,71,70,71
113,20,313,413,513,60,71,71,70
113,20,313,413,513,60,70,71,71
113,20,313,413,513,60,71,70,72
113,20,313,413,513,60,72,71,73
113,20,313,413,513,60,73,72,71
113,20,313,413,513,60,71,73,74
113,20,313,413,513,60,74,71,71
113,20,313,413,513,60,71,74,70
113,20,313,413,513,60,70,71,71
113,20,313,413,513,60,71,70,74
113,20,313,413,513,60,74,71,75
113,20,313,413,513,60,75,74,71
113,20,313,413,513,60,71,75,76
113,20,313,413,513,60,76,71,76
113,20,313,413,513,60,76,76,76
113,20,313,413,513,60,76,76,72
113,20,313,413,513,60,72,76,76
113,20,313,413,513,60,76,72,72
113,20,313,413,513,60,72,76,77
113,20,313,413,513,60,77,72,72
113,20,313,413,513,60,72,77,78
113,20,313,413,513,60,78,72,77
113,20,313,413,513,60,77,78,72
113,20,313,413,513,60,72,77,70
113,20,313,413,513,60,70,72,72
113,20,313,413,513,60,72,70,77
113,20,313,413,513,60,77,72,72
113,20,313,413,513,60,72,77,71
113,20,313,413,513,60,71,72,72
113,20,313,413,513,60,72,71,77
113,20,313,413,513,60,77,72,58
113,20,313,413,513,60,58,77,58
113,20,313,413,513,60,58,58,71
113,20,313,413,513,60,71,58,71
113,20,313,413,513,60,71,71,58
113,20,313,413,513,60,58,71,79
113,20,313,413,513,60,79,58,80
113,20,313,413,513,60,80,79,80
113,20,313,413,513,60,80,80,76
113,20,313,413,513,60,76,80,70
113,20,313,413,513,60,70,76,81
113,20,313,413,513,60,81,70,71
113,20,313,413,513,60,71,81,78
113,20,313,413,513,60,78,71,71
113,20,313,413,513,60,71,78,78
113,20,313,413,513,60,78,71,52
113,20,313,413,513,60,52,78,71
113,20,313,413,513,60,71,52,58
113,20,313,413,513,60,58,71,78
113,20,313,413,513,60,78,58,78
113,20,313,413,513,60,78,78,82
113,20,313,413,513,60,82,78,78
113,20,313,413,513,60,78,82,70
113,20,313,413,513,60,70,78,71
113,20,313,413,513,60,71,70,71
113,20,313,413,513,60,71,71,71
113,20,313,413,513,60,71,71,74
113,20,313,413,513,60,74,71,83
113,20,313,413,513,60,83,74,58
13,20,314,414,514,60,0,0,84
13,20,314,414,514,60,84,0,85
13,20,314,414,514,60,85,84,86
13,20,314,414,514,60,86,85,50
114,20,315,415,515,60,0,0,87
114,20,315,415,515,60,87,0,46
114,20,315,415,515,60,46,87,13
115,22,316,416,512,60,0,0,41
115,22,316,416,512,60,41,0,41
115,22,316,416,512,60,41,41,41
10,20,317,417,516,60,0,0,71
10,20,317,417,516,60,71,0,1
10,20,317,417,516,60,1,71,78
10,20,317,417,516,60,78,1,17
10,20,317,417,516,60,17,78,88
10,20,317,417,516,60,88,17,17
10,20,317,418,516,60,0,0,71
10,20,317,418,516,60,71,0,2
10,20,317,418,516,60,2,71,1
10,20,317,418,516,60,1,2,51
10,20,317,418,516,60,51,1,89
10,20,317,418,516,60,89,51,71
10,20,317,418,516,60,71,89,90
10,20,317,418,516,60,90,71,90
10,20,317,418,516,60,90,90,51
10,20,317,418,516,60,51,90,71
10,20,317,418,516,60,71,51,91
10,20,317,418,516,60,91,71,92
10,20,317,418,516,60,92,91,78
10,20,317,418,516,60,78,92,78
10,20,317,418,516,60,78,78,17
10,20,317,418,516,60,17,78,17
116,20,318,419,517,60,0,0,41
116,20,318,419,517,60,41,0,41
116,20,318,419,517,60,41,41,36
116,20,318,419,517,60,36,41,26
116,20,318,419,517,60,26,36,41
116,20,318,419,517,60,41,26,61
116,20,318,419,517,60,61,41,24
116,20,318,419,517,60,24,61,5
116,20,318,419,517,60,5,24,5
116,20,318,419,517,60,5,5,6
116,20,318,419,517,60,6,5,93
116,20,318,419,517,60,93,6,41
116,20,318,419,517,60,41,93,36
116,20,318,419,517,60,36,41,94
116,20,318,419,517,60,94,36,42
116,20,318,419,517,60,42,94,45
116,20,318,419,517,60,45,42,42
116,20,318,419,517,60,42,45,94
116,20,318,419,517,60,94,42,13
116,20,318,419,517,60,13,94,7
116,20,318,419,517,60,7,13,94
116,20,318,419,517,60,94,7,4
116,20,318,419,517,60,4,94,42
116,20,318,419,517,60,42,4,45
117,23,319,412,512,60,0,0,46
